Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,158.149994,166.479996,154.179993,157.279999,155.502945,443872900
2022-05-09,154.929993,156.740005,138.800003,147.110001,145.661560,686227300
2022-05-16,145.550003,149.770004,132.610001,137.589996,136.235306,548244700
2022-05-23,137.789993,149.679993,137.139999,149.639999,148.166672,495921700
2022-05-30,149.070007,151.740005,144.460007,145.380005,143.948608,338923400
2022-06-06,147.029999,149.869995,137.059998,137.130005,135.779831,354267700
2022-06-13,132.869995,137.339996,129.039993,131.559998,130.264664,541168600
2022-06-20,133.419998,141.910004,133.320007,141.660004,140.265228,315960300
2022-06-27,142.699997,143.490005,133.770004,138.929993,137.562103,373549800
2022-07-04,137.770004,147.550003,136.929993,147.039993,145.592224,278219600
2022-07-11,145.669998,150.860001,142.119995,150.169998,148.691437,366316600
2022-07-18,150.740005,156.279999,146.699997,154.089996,152.572845,360988700
2022-07-25,154.009995,163.630005,150.800003,162.509995,160.909958,370548900
2022-08-01,161.009995,167.190002,159.630005,165.350006,163.721970,322415000
2022-08-08,166.369995,172.169998,163.250000,172.100006,170.642197,318771500
2022-08-15,171.520004,176.149994,171.309998,171.520004,170.067123,322647200
2022-08-22,169.690002,171.050003,163.559998,163.619995,162.234055,307194600
2022-08-29,161.149994,162.899994,154.669998,155.809998,154.490204,390399000
2022-09-05,156.470001,157.820007,152.679993,157.369995,156.036987,314117000
2022-09-12,159.589996,164.259995,148.369995,150.699997,149.423477,568337900
2022-09-19,149.309998,158.740005,148.559998,150.429993,149.155762,473543200
2022-09-26,149.660004,154.720001,138.000000,138.199997,137.029343,577537000
2022-10-03,138.210007,147.539993,137.690002,140.089996,138.903336,435940600
2022-10-10,140.419998,144.520004,134.369995,138.380005,137.207840,424188400
2022-10-17,141.070007,147.850006,140.270004,147.270004,146.022522,397216400
2022-10-24,147.190002,157.500000,144.130005,155.740005,154.420792,512851100
2022-10-31,153.160004,155.449997,134.380005,138.380005,137.207840,510660400
2022-11-07,137.110001,150.009995,134.589996,149.699997,148.678177,461034600
2022-11-14,148.970001,153.589996,146.149994,151.289993,150.257324,382679700
2022-11-21,150.160004,151.830002,146.929993,148.110001,147.099030,204025500
2022-11-28,145.139999,149.130005,140.350006,147.809998,146.801071,401088500
2022-12-05,147.770004,150.919998,140.000000,142.160004,141.189651,341500000
2022-12-12,142.699997,149.970001,133.729996,134.509995,133.591858,505728900
2022-12-19,135.110001,136.809998,129.639999,131.860001,130.959946,384620400
2022-12-26,131.380005,131.410004,125.870003,129.929993,129.043137,307184100
2023-01-02,130.279999,130.899994,124.169998,129.619995,128.735245,369948500
2023-01-09,130.470001,134.919998,128.119995,134.759995,133.840134,333335200
2023-01-16,134.830002,138.610001,133.770004,137.869995,136.928940,271823400
2023-01-23,138.119995,147.229996,137.899994,145.929993,144.933899,338655600
2023-01-30,144.960007,157.380005,141.320007,154.500000,153.445419,480249700
2023-02-06,152.570007,155.229996,149.220001,151.009995,149.979233,330758800
2023-02-13,150.949997,156.330002,150.850006,152.550003,151.740051,316792400
2023-02-20,150.199997,151.300003,145.720001,146.710007,145.931076,213742300
2023-02-27,147.710007,151.110001,143.899994,151.029999,150.228119,273994900
2023-03-06,153.789993,156.300003,147.610001,148.500000,147.711563,313350800
2023-03-13,147.809998,156.740005,147.699997,155.000000,154.177048,410426600
2023-03-20,155.070007,162.139999,154.149994,160.250000,159.399170,350100100
2023-03-27,159.940002,165.000000,155.979996,164.899994,164.024475,267939700
2023-04-03,164.270004,166.839996,161.800003,164.660004,163.785767,200156300
2023-04-10,161.419998,166.320007,159.779999,165.210007,164.332855,263326300
2023-04-17,165.089996,168.160004,164.029999,165.020004,164.143860,249953100
2023-04-24,165.000000,169.850006,162.800003,169.679993,168.779099,256274000
2023-05-01,169.279999,174.300003,164.309998,173.570007,172.648483,360586400
2023-05-08,172.479996,174.589996,171.000000,172.570007,171.653778,250026700
2023-05-15,173.160004,176.389999,170.419998,175.160004,174.471024,258597700
2023-05-22,173.979996,175.770004,170.520004,175.429993,174.739929,250355000
2023-05-29,176.960007,181.779999,176.570007,180.949997,180.238220,286437400
2023-06-05,182.630005,184.949997,177.320007,180.960007,180.248184,347825100
2023-06-12,181.270004,186.990005,180.970001,184.919998,184.192612,333335700
2023-06-19,184.410004,187.559998,182.589996,186.679993,185.945679,203639400
2023-06-26,186.830002,194.479996,185.229996,193.970001,193.207031,281453200
2023-07-03,193.779999,193.880005,189.199997,190.679993,189.929947,170250800
2023-07-10,189.259995,191.699997,186.600006,190.690002,189.939926,250226700
2023-07-17,191.899994,198.229996,191.229996,191.940002,191.184998,310880300
2023-07-24,193.410004,197.199997,192.250000,195.830002,195.059708,225884500
2023-07-31,196.059998,196.729996,181.919998,181.990005,181.274155,301423400
2023-08-07,182.130005,183.130005,176.550003,177.789993,177.090668,332452600
2023-08-14,177.970001,179.690002,171.960007,174.490005,174.038345,261440200
2023-08-21,175.070007,181.550003,173.740005,178.610001,178.147675,247514300
2023-08-28,180.089996,189.919998,178.550003,189.460007,188.969604,264165600
2023-09-04,188.279999,189.979996,173.539993,178.179993,177.718781,305075900
2023-09-11,180.070007,180.300003,173.580002,175.009995,174.556976,403692100
2023-09-18,176.479996,179.699997,173.860001,174.789993,174.337555,297294000
2023-09-25,174.199997,176.970001,167.619995,171.210007,170.766830,285792000
2023-10-02,171.220001,177.990005,170.820007,177.490005,177.030594,260531400
2023-10-09,176.809998,182.339996,175.800003,178.850006,178.387054,241810100
2023-10-16,176.750000,179.080002,172.639999,172.880005,172.432510,288323000
2023-10-23,170.910004,174.009995,165.669998,168.220001,167.784576,286078100
2023-10-30,169.020004,177.779999,167.899994,176.649994,176.192749,310010400
2023-11-06,176.380005,186.570007,176.210007,186.399994,185.917496,303608500
2023-11-13,185.820007,190.960007,184.210007,189.690002,189.448257,262862000
2023-11-20,189.889999,192.929993,189.250000,189.970001,189.727905,148305600
2023-11-27,189.919998,192.089996,188.190002,191.240005,190.996292,216455900
2023-12-04,189.979996,195.990005,187.449997,195.710007,195.460587,251962600
2023-12-11,193.110001,199.619995,191.419998,197.570007,197.318222,379133100
2023-12-18,196.089996,197.679993,192.970001,193.600006,193.353287,232314100
2023-12-25,193.610001,194.660004,191.089996,192.529999,192.284637,153685700
2024-01-01,187.149994,188.440002,180.169998,181.179993,180.949097,275190100
2024-01-08,182.089996,187.050003,181.500000,185.919998,185.683060,238352300
2024-01-15,182.160004,191.949997,180.300003,191.559998,191.315872,259667200
2024-01-22,192.300003,196.380005,191.940002,192.419998,192.174774,255536900
2024-01-29,192.009995,192.199997,179.250000,185.850006,185.613159,325876200
2024-02-05,188.149994,191.050003,185.839996,188.850006,188.609329,252715800
2024-02-12,188.419998,188.669998,181.350006,182.309998,182.309998,268077800
2024-02-19,181.789993,185.039993,180.000000,182.520004,182.520004,192607200
2024-02-26,182.240005,183.919998,177.380005,179.660004,179.660004,354310800
2024-03-04,176.149994,176.899994,168.490005,170.729996,170.729996,393109900
2024-03-11,172.940002,174.380005,170.289993,172.619995,172.619995,367031800
2024-03-18,175.570007,178.669998,170.059998,172.279999,172.279999,361530400
2024-03-25,170.570007,173.600006,169.449997,171.479996,171.479996,237622700
2024-04-01,171.190002,171.919998,168.229996,169.580002,169.580002,239021300
2024-04-08,169.029999,178.360001,167.110001,176.550003,176.550003,322249600
2024-04-15,175.360001,176.630005,164.080002,165.000000,165.000000,309039200
2024-04-22,165.520004,171.339996,164.770004,169.300003,169.300003,241302700
2024-04-29,173.369995,176.029999,169.110001,173.029999,173.029999,278702200
2024-05-03,186.669998,187.000000,182.660004,183.380005,183.380005,157741757
