Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,14.852000,15.880000,12.965000,13.150000,13.150000,114909400
2022-05-09,12.715000,12.880000,9.770000,12.610000,12.610000,166365100
2022-05-16,13.140000,14.660000,12.400000,14.030000,14.030000,129416800
2022-05-23,14.010000,14.869000,13.310000,14.720000,14.720000,92263500
2022-05-30,14.710000,14.785000,12.640000,12.720000,12.720000,116985400
2022-06-06,12.860000,14.655000,12.560000,13.100000,13.100000,108238400
2022-06-13,12.280000,12.600000,10.515000,11.420000,11.420000,100227000
2022-06-20,11.725000,14.190000,11.632000,14.150000,14.150000,87556700
2022-06-27,14.255000,14.380000,11.435000,11.770000,11.770000,74502900
2022-07-04,11.610000,13.340000,11.260000,12.740000,12.740000,68576100
2022-07-11,12.530000,12.915000,11.123000,12.860000,12.860000,95105900
2022-07-18,13.180000,14.610000,12.810000,13.530000,13.530000,90150300
2022-07-25,13.465000,14.010000,12.560000,13.730000,13.730000,61950300
2022-08-01,13.580000,19.530001,13.280000,17.959999,17.959999,146151600
2022-08-08,17.940001,20.700001,17.520000,20.670000,20.670000,141052800
2022-08-15,20.305000,21.450001,17.985001,18.139999,18.139999,114429300
2022-08-22,17.410000,18.014999,16.370001,16.530001,16.530001,79617600
2022-08-29,16.270000,17.030001,15.070000,15.490000,15.490000,73763600
2022-09-05,15.830000,17.729000,15.150000,17.629999,17.629999,65330800
2022-09-12,17.850000,19.790001,17.045000,18.600000,18.600000,129495600
2022-09-19,18.370001,18.780001,14.570000,14.980000,14.980000,83099100
2022-09-26,15.140000,16.020000,14.570000,15.140000,15.140000,87636600
2022-10-03,15.430000,17.450001,14.620000,16.570000,16.570000,107870200
2022-10-10,16.320000,16.340000,12.345000,12.480000,12.480000,148058800
2022-10-17,12.880000,13.890000,12.830000,13.210000,13.210000,89457100
2022-10-24,13.105000,15.300000,12.450000,15.120000,15.120000,81051500
2022-10-31,15.210000,17.250000,11.120000,11.310000,11.310000,170112800
2022-11-07,11.560000,15.005000,10.850000,14.880000,14.880000,150130600
2022-11-14,14.590000,15.840000,14.220000,15.050000,15.050000,76130400
2022-11-21,14.830000,15.400000,13.370000,15.140000,15.140000,68576500
2022-11-28,14.310000,15.760000,14.220000,15.490000,15.490000,65125700
2022-12-05,15.420000,15.870000,13.705000,13.960000,13.960000,49572000
2022-12-12,13.580000,15.470000,11.980000,12.120000,12.120000,82042000
2022-12-19,11.960000,12.190000,11.065000,11.530000,11.530000,53488700
2022-12-26,11.390000,11.660000,10.694000,11.390000,11.390000,40271400
2023-01-02,11.660000,11.820000,10.980000,11.630000,11.630000,34694600
2023-01-09,11.850000,14.210000,11.760000,14.110000,14.110000,59308100
2023-01-16,14.120000,14.710000,13.410000,13.880000,13.880000,42254100
2023-01-23,14.000000,15.300000,13.870000,15.040000,15.040000,64527200
2023-01-30,14.870000,17.655001,14.560000,16.870001,16.870001,78926700
2023-02-06,16.510000,17.990000,15.560000,15.990000,15.990000,70752300
2023-02-13,16.150000,21.200001,15.690000,20.540001,20.540001,142074900
2023-02-20,20.000000,21.620001,17.969999,18.190001,18.190001,81009700
2023-02-27,18.549999,19.280001,17.830000,19.040001,19.040001,48138600
2023-03-06,19.080000,19.900000,17.840000,18.549999,18.549999,53958200
2023-03-13,18.139999,18.959999,17.122999,17.870001,17.870001,53655100
2023-03-20,17.740000,18.639999,17.020000,17.730000,17.730000,45120900
2023-03-27,18.000000,19.570000,17.330000,19.360001,19.360001,46344100
2023-04-03,19.120001,19.400000,17.420000,18.160000,18.160000,35174600
2023-04-10,17.950001,19.465000,17.879999,19.160000,19.160000,44764100
2023-04-17,19.180000,22.020000,19.100000,21.969999,21.969999,71076300
2023-04-24,21.830000,22.290001,20.260000,21.910000,21.910000,58638200
2023-05-01,22.000000,25.340000,21.070000,24.580000,24.580000,86714300
2023-05-08,24.500000,24.924999,23.309999,23.530001,23.530001,54906900
2023-05-15,23.645000,24.465000,22.650000,24.110001,24.110001,70683400
2023-05-22,24.950001,26.405001,23.309999,23.379999,23.379999,75480600
2023-05-29,23.639999,25.139999,22.920000,24.920000,24.920000,48611400
2023-06-05,25.000000,26.645000,24.549999,24.940001,24.940001,51100500
2023-06-12,25.070000,26.370001,24.389999,24.510000,24.510000,48449500
2023-06-19,24.299999,25.790001,24.160000,25.030001,25.030001,38525500
