Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,3.140000,3.390000,2.650000,2.710000,2.710000,78557900
2022-05-09,2.640000,2.800000,2.090000,2.660000,2.660000,149149300
2022-05-16,2.650000,2.840000,2.370000,2.610000,2.610000,139109600
2022-05-23,2.660000,3.225000,2.490000,3.210000,3.210000,98378700
2022-05-30,3.225000,3.680000,2.862000,3.660000,3.660000,97182700
2022-06-06,3.750000,3.870000,2.780000,2.820000,2.820000,96916900
2022-06-13,2.620000,2.730000,2.260000,2.370000,2.370000,158741200
2022-06-20,2.490000,3.120000,2.320000,2.860000,2.860000,165754900
2022-06-27,2.850000,2.860000,2.310000,2.380000,2.380000,82436900
2022-07-04,2.400000,3.400000,2.235000,3.230000,3.230000,107638900
2022-07-11,3.190000,3.240000,2.840000,3.000000,3.000000,94779900
2022-07-18,3.130000,3.300000,2.880000,2.920000,2.920000,72792900
2022-07-25,2.940000,3.000000,2.580000,2.860000,2.860000,88352300
2022-08-01,2.800000,3.155000,2.690000,3.070000,3.070000,75008900
2022-08-08,3.090000,4.910000,2.910000,3.630000,3.630000,264474600
2022-08-15,3.740000,4.260000,2.790000,2.850000,2.850000,218712000
2022-08-22,2.735000,2.940000,2.580000,2.780000,2.780000,113681400
2022-08-29,2.680000,2.840000,2.470000,2.510000,2.510000,105862000
2022-09-05,2.495000,3.020000,2.350000,2.940000,2.940000,69331900
2022-09-12,3.000000,3.400000,2.810000,2.990000,2.990000,127719100
2022-09-19,2.915000,3.190000,2.650000,2.800000,2.800000,119372500
2022-09-26,2.745000,3.490000,2.735000,3.120000,3.120000,137048800
2022-10-03,3.250000,3.520000,3.010000,3.090000,3.090000,119289000
2022-10-10,3.080000,3.120000,2.550000,2.590000,2.590000,125607500
2022-10-17,2.670000,2.830000,2.340000,2.570000,2.570000,141629800
2022-10-24,2.590000,3.010000,2.430000,2.690000,2.690000,118928000
2022-10-31,2.680000,2.885000,2.400000,2.500000,2.500000,90631100
2022-11-07,2.530000,2.940000,2.280000,2.850000,2.850000,126489900
2022-11-14,2.830000,2.860000,1.960000,2.190000,2.190000,185876600
2022-11-21,2.160000,2.190000,1.940000,1.990000,1.990000,97551400
2022-11-28,1.990000,2.010000,1.750000,1.990000,1.990000,115595600
2022-12-05,1.960000,1.970000,1.640000,1.820000,1.820000,103654200
2022-12-12,1.820000,2.000000,1.570000,1.730000,1.730000,145168400
2022-12-19,1.710000,1.760000,1.590000,1.660000,1.660000,111065000
2022-12-26,1.640000,1.760000,1.600000,1.690000,1.690000,73415200
2023-01-02,1.690000,1.790000,1.450000,1.520000,1.520000,77860800
2023-01-09,1.550000,1.900000,1.460000,1.860000,1.860000,117211000
2023-01-16,1.850000,2.060000,1.640000,1.660000,1.660000,77916200
2023-01-23,1.670000,1.980000,1.670000,1.940000,1.940000,81933200
2023-01-30,1.880000,2.250000,1.790000,2.060000,2.060000,115928300
2023-02-06,2.070000,2.070000,1.660000,1.730000,1.730000,87129100
2023-02-13,1.735000,1.850000,1.620000,1.740000,1.740000,83216500
2023-02-20,1.670000,1.730000,1.460000,1.470000,1.470000,98067600
2023-02-27,1.500000,1.520000,1.290000,1.390000,1.390000,128549000
2023-03-06,1.350000,1.400000,1.190000,1.240000,1.240000,117899300
2023-03-13,1.230000,1.410000,1.190000,1.280000,1.280000,115984000
2023-03-20,1.280000,1.380000,1.190000,1.270000,1.270000,90495300
2023-03-27,1.280000,1.380000,1.165000,1.330000,1.330000,72062100
2023-04-03,1.320000,1.400000,1.190000,1.350000,1.350000,62341600
2023-04-10,1.340000,1.410000,1.270000,1.300000,1.300000,75512600
2023-04-17,1.310000,1.365000,1.210000,1.310000,1.310000,85325500
2023-04-24,1.310000,1.330000,1.160000,1.220000,1.220000,92094600
2023-05-01,1.220000,1.320000,1.120000,1.270000,1.270000,79907300
2023-05-08,1.290000,1.430000,1.210000,1.230000,1.230000,111490900
2023-05-15,1.240000,1.350000,1.200000,1.280000,1.280000,70917400
2023-05-22,1.320000,1.720000,1.300000,1.520000,1.520000,175356700
2023-05-29,1.550000,1.790000,1.510000,1.620000,1.620000,113537200
2023-06-05,1.610000,1.900000,1.560000,1.850000,1.850000,119536500
